Datetime,Open,High,Low,Close,Volume
2020-03-13 10:28:00-04:00,147.07,147.3,146.55,146.73,502220
2020-03-13 10:30:00-04:00,146.77,147.12,145.79,145.89,437897
2020-03-13 10:32:00-04:00,145.88,146.88,145.81,146.88,344360
2020-03-13 10:34:00-04:00,146.35,146.35,145.64,145.83,339271
2020-03-13 10:36:00-04:00,145.86,146.38,145.55,145.55,285528
2020-03-13 10:38:00-04:00,145.53,145.75,145.02,145.44,336140
2020-03-13 10:40:00-04:00,145.45,145.45,144.93,145.07,406153
2020-03-13 10:42:00-04:00,145.06,145.07,144.26,144.54,362652
2020-03-13 10:44:00-04:00,144.57,145.22,144.43,145.15,302051
2020-03-13 10:46:00-04:00,145.1,145.33,144.88,145.13,243362
2020-03-13 10:48:00-04:00,145.15,145.33,144.67,144.78,373840
2020-03-13 10:50:00-04:00,144.76,145.19,144.62,144.69,273399
2020-03-13 10:52:00-04:00,144.72,144.83,144.46,144.64,239239
2020-03-13 10:54:00-04:00,144.62,144.94,144.35,144.44,257613
2020-03-13 10:56:00-04:00,144.45,144.53,143.66,143.75,462923
2020-03-13 10:58:00-04:00,143.72,143.77,143.0,143.17,518649
2020-03-13 11:00:00-04:00,143.12,144.17,143.12,144.14,236658
2020-03-13 11:06:00-04:00,144.78,144.87,144.53,144.59,1128872
2020-03-13 11:08:00-04:00,144.58,145.09,144.45,144.95,317260
2020-03-13 11:10:00-04:00,144.96,145.11,144.08,144.26,297219
2020-03-13 11:12:00-04:00,144.27,144.85,144.01,144.34,262670
2020-03-13 11:14:00-04:00,144.26,145.4,144.25,144.86,355195
2020-03-13 11:16:00-04:00,144.88,144.88,143.84,144.51,249328
2020-03-13 11:18:00-04:00,144.53,144.53,143.53,143.92,318532
2020-03-13 11:20:00-04:00,143.88,144.49,143.82,144.1,232607
2020-03-13 11:22:00-04:00,144.1,144.34,143.78,143.8,187065
2020-03-13 11:24:00-04:00,143.83,144.02,143.65,143.77,186416
2020-03-13 11:26:00-04:00,143.78,143.86,143.12,143.45,242259
2020-03-13 11:28:00-04:00,143.39,143.46,142.23,142.23,464401
2020-03-13 11:30:00-04:00,142.55,142.56,141.83,142.04,435869
2020-03-13 11:32:00-04:00,142.01,142.04,141.56,141.67,372568
2020-03-13 11:34:00-04:00,141.68,142.78,141.46,142.27,366260
2020-03-13 11:36:00-04:00,142.28,142.95,142.02,142.51,278615
2020-03-13 11:38:00-04:00,142.46,142.57,141.74,141.89,295771
